gene	logfc	fdr
comp10207_c0_seq1_m.31248	-0.083071375	0.902426826
comp10207_c0_seq2_m.31249	-0.083070997	0.902426826
comp10208_c0_seq1_m.4627	-0.170804568	0.87678108
comp10209_c0_seq3_m.18938	0.137293427	0.978000777
comp10209_c0_seq4_m.18939	-0.241541162	0.964843196
comp10209_c0_seq5_m.18940	-0.066174937	0.978000777
comp102093_c0_seq1_m.12868	0.64918594	0.456680831
comp102097_c0_seq1_m.12869	-0.375916062	0.749845144
comp10210_c0_seq1_m.4628	-0.073653929	0.895369948
comp10211_c0_seq1_m.4629	-0.310527061	0.270860097
comp10212_c0_seq1_m.4631	-0.151717924	0.74672551
comp102122_c0_seq1_m.12871	0.027495534	0.993716066
comp10213_c0_seq1_m.4632	0.14163573	0.873577791
comp102131_c0_seq1_m.12873	-0.621659512	0.335896812
comp102136_c0_seq1_m.12875	-0.328459107	0.679882186
comp10214_c0_seq1_m.19944	0.102539538	0.944162862
comp10214_c1_seq1_m.19945	-0.044104554	0.98205216
comp10214_c2_seq1_m.19946	-0.147521394	0.79053724
comp10215_c1_seq1_m.31277	-0.074800876	0.95257454
comp10216_c0_seq1_m.28263	0.007686455	0.995087222
comp102163_c0_seq1_m.12877	-0.040543608	0.98860355
comp102179_c0_seq1_m.12878	0.66149772	0.191788839
comp10218_c0_seq2_m.26217	0.063949413	0.979252101
comp10218_c0_seq4_m.26218	0.84772714	0.611742929
comp10218_c0_seq5_m.26219	0.125478978	0.800262961
comp102185_c0_seq1_m.12880	0.741256068	0.019697975
comp10219_c0_seq1_m.4633	-0.527340535	0.374460202
comp10220_c0_seq1_m.4634	-0.055492733	0.958645361
comp10221_c0_seq1_m.32763	0.017898087	0.988379935
comp10221_c0_seq1_m.32764	-0.1621255	0.95152168
comp10221_c0_seq1_m.32765	-0.005319455	0.994674432
comp10221_c0_seq2_m.32766	-0.005318498	0.994674432
comp102213_c0_seq1_m.12882	-1.100217792	0.142113773
comp102217_c0_seq1_m.12883	-0.267859307	0.848654226
comp10222_c0_seq1_m.21759	-0.107870654	0.961901171
comp10222_c1_seq1_m.21760	-0.232454961	0.756149854
comp10223_c0_seq2_m.29540	0.410442201	0.749845144
comp10225_c0_seq1_m.4635	0.012513205	0.987716417
comp102254_c0_seq1_m.12884	-0.425764003	0.222212209
comp102258_c0_seq1_m.12885	-0.093818529	0.973308859
comp10226_c0_seq1_m.4636	-0.1276981	0.750448449
comp10227_c0_seq1_m.4637	3.845380386	2.12E-15
comp102270_c0_seq1_m.12886	-0.367013136	0.793126077
comp10228_c0_seq1_m.38094	0.394628631	0.09761372
comp102286_c0_seq1_m.12887	1.325775612	0.000917233
comp10229_c0_seq1_m.4638	5.435856788	4.79E-21
comp102298_c0_seq1_m.12888	-0.102437346	0.985582615
comp10231_c0_seq1_m.17292	1.352259082	3.06E-05
comp10232_c0_seq1_m.4639	0.972781616	9.11E-05
comp10232_c0_seq1_m.4640	0.930599661	0.006626347
comp10233_c0_seq1_m.23935	-0.313051076	0.244005216
comp10233_c1_seq1_m.23937	-0.654467576	0.001663384
comp10233_c1_seq2_m.23938	-0.262480629	0.782427825
comp10234_c0_seq1_m.20824	-0.048040923	0.993716066
comp102340_c0_seq1_m.12889	0.073615785	0.97536335
comp102342_c0_seq1_m.12890	-0.221637688	0.862021642
comp102343_c0_seq1_m.12891	1.663544778	0.000587215
comp10235_c0_seq1_m.31441	-0.027431246	0.984285095
comp10235_c1_seq1_m.31442	-0.159736624	0.939253976
comp10235_c1_seq2_m.31443	-0.214875023	0.857859269
comp10236_c0_seq1_m.20679	0.790298892	0.650085842
comp10236_c0_seq2_m.20680	-0.077113943	0.93094042
comp102367_c0_seq1_m.12893	-0.299693404	0.74502133
comp10237_c0_seq1_m.4641	0.133741919	0.946871087
comp10238_c0_seq1_m.4642	-0.147576058	0.868902935
comp102385_c0_seq1_m.12894	0.83679227	0.464050105
comp10239_c0_seq1_m.4643	0.349078589	0.268053867
comp10239_c0_seq1_m.4644	-0.039464349	0.993716066
comp1024_c0_seq1_m.278	-0.002256067	0.998722079
comp10240_c0_seq1_m.4645	0.173288283	0.907257008
comp102400_c0_seq1_m.12896	0.192699873	0.871521444
comp102408_c0_seq1_m.12897	-0.355234366	0.738424134
comp10241_c0_seq1_m.4647	0.027232279	0.985322998
comp102429_c0_seq1_m.12898	-0.166208081	0.936186289
comp10243_c0_seq1_m.37385	0.872268307	0.848672338
comp10244_c0_seq1_m.23262	0.104038109	0.958089313
comp10245_c0_seq1_m.4648	-0.415858176	0.50326841
comp10246_c0_seq1_m.4649	-0.093772712	0.936207287
comp10248_c0_seq1_m.4650	0.110904925	0.93633475
comp10249_c0_seq1_m.4651	0.039049448	0.980477634
comp102496_c0_seq1_m.12899	-0.273666485	0.737927498
comp10250_c0_seq1_m.4652	2.115302116	7.69E-06
comp102500_c0_seq1_m.12900	-1.047325331	0.000246513
comp10251_c1_seq1_m.29462	-0.025861558	0.984188863
comp102513_c0_seq1_m.12901	-0.192355276	0.909791856
comp10252_c1_seq1_m.32252	4.934544212	1.06E-05
comp102524_c0_seq1_m.12902	-0.3254616	0.857859269
comp10254_c1_seq1_m.27370	0.329754559	0.267568415
comp10254_c1_seq2_m.27372	0.005622612	0.998722079
comp102552_c0_seq1_m.12903	-0.439279643	0.287987666
comp102555_c0_seq1_m.12904	-0.676752972	0.538275153
comp10256_c0_seq1_m.4653	0.032803585	0.97536335
comp10257_c0_seq1_m.34426	3.359206224	9.29E-09
comp10258_c0_seq1_m.4654	-0.127178763	0.928523658
comp10259_c0_seq1_m.4656	-0.442125755	0.782563359
comp102591_c0_seq1_m.12905	-0.379020932	0.563248772
comp10260_c0_seq1_m.4657	-0.056985274	0.969087703
comp10260_c0_seq1_m.4658	0.033129426	0.987431456
comp102600_c0_seq1_m.12906	-0.369086514	0.652016
comp102600_c0_seq1_m.12907	0.139202543	0.962021897
comp10261_c0_seq1_m.32815	0.001356098	0.998992342
comp10261_c0_seq1_m.32816	-0.108226475	0.94467574
comp10262_c0_seq1_m.4659	0.252462354	0.623393608
comp102625_c0_seq1_m.12908	-0.059255073	0.979765305
