lg	cm	id	sd
1 24.15 comp18465_c0_seq2_m.32318 Au
1 24.15 comp11923_c0_seq2_m.29510 Au
1 24.15 comp12203_c0_seq1_m.5997 Au
1 24.15 comp25217_c0_seq1_m.10925 Au
1 24.15 comp18319_c0_seq2_m.25348 Au
1 24.15 comp17149_c0_seq1_m.26508 Au
1 24.15 comp10335_c1_seq1_m.37741 Au
1 24.15 comp13021_c0_seq1_m.6609 Au
1 24.15 comp7449_c0_seq1_m.25384 Au
1 24.15 comp17025_c0_seq1_m.9305 Au
1 24.15 comp12127_c0_seq2_m.34205 Au
1 24.15 comp11314_c0_seq2_m.18759 Au
1 24.15 comp10847_c0_seq1_m.24538 f3m5_SL_f4m6_Au
1 24.15 comp8059_c0_seq1_m.3287 Au
1 24.15 comp33663_c0_seq1_m.11158 Au
1 24.15 comp14440_c0_seq1_m.7599 f3m5_SL_NA
1 24.15 comp17025_c0_seq1_m.9304 f3m5_SL_NA
1 24.15 comp15290_c0_seq1_m.8194 Au
1 26.00 comp14527_c0_seq1_m.7666 Au
1 26.00 comp45694_c0_seq1_m.11448 Au
1 26.00 comp30762_c0_seq1_m.11092 Au
1 26.00 comp9683_c0_seq1_m.26730 Au
1 26.00 comp14604_c0_seq1_m.32295 Au
1 26.00 comp14224_c0_seq1_m.27350 Au
1 26.00 comp15483_c0_seq1_m.8325 Au
1 26.00 comp4267_c0_seq1_m.20960 Au
1 26.00 comp17898_c0_seq1_m.38654 Au
1 26.00 comp9418_c0_seq1_m.4122 Au
1 26.00 comp17658_c0_seq1_m.9686 Au
1 26.00 comp17861_c0_seq8_m.36721 Au
1 26.00 comp13342_c0_seq1_m.32096 Au
1 26.00 comp4837_c0_seq1_m.1491 Au
1 26.00 comp17495_c0_seq1_m.21925 Au
1 26.00 comp11604_c0_seq2_m.30728 f3m5_SL_NA
1 26.00 comp6371_c0_seq1_m.2287 Au
1 26.00 comp8835_c0_seq1_m.3740 Au
1 26.00 comp7438_c0_seq1_m.2940 Au
1 26.00 comp13290_c0_seq1_m.28397 Au
1 26.00 comp13935_c0_seq3_m.22594 Au
1 26.00 comp12585_c0_seq1_m.6275 Au
1 26.00 comp12161_c0_seq2_m.18123 Au
1 26.00 comp18329_c0_seq1_m.32733 Au
1 26.00 comp15971_c0_seq1_m.36909 Au
1 26.00 comp12585_c0_seq1_m.6276 Au
1 26.00 comp55977_c0_seq1_m.11695 Au
1 26.00 comp14862_c0_seq1_m.7887 Au
1 26.00 comp11420_c0_seq1_m.5428 f3m5_SL_f4m6_SL
1 26.00 comp4002_c0_seq1_m.877 Au
1 26.00 comp7276_c0_seq1_m.2832 Au
1 26.00 comp5413_c0_seq1_m.1847 Au
1 26.00 comp14377_c0_seq1_m.7565 Au
1 26.00 comp7276_c0_seq1_m.2833 Au
1 26.00 comp17351_c0_seq1_m.9505 Au
1 26.00 comp15993_c0_seq1_m.37628 Au
1 26.00 comp12161_c0_seq1_m.18122 Au
1 26.00 comp11593_c0_seq1_m.5550 Au
1 26.00 comp15333_c0_seq1_m.8218 Au
1 26.00 comp11420_c0_seq1_m.5429 Au
1 26.00 comp13123_c0_seq1_m.6668 Au
1 26.00 comp18507_c0_seq1_m.36649 f3m5_SL_NA
1 26.00 comp6770_c0_seq1_m.2536 Au
1 26.00 comp13071_c0_seq1_m.34861 Au
1 26.00 comp4969_c0_seq1_m.1585 Au
1 26.00 comp10756_c0_seq1_m.5005 Au
1 26.00 comp13108_c0_seq1_m.20873 Au
1 26.00 comp13726_c0_seq1_m.7081 Au
1 26.00 comp12882_c0_seq1_m.6488 Au
1 26.00 comp13394_c0_seq1_m.6866 Au
1 26.00 comp11256_c0_seq1_m.5328 Au
1 26.00 comp13925_c0_seq1_m.21744 Au
1 26.00 comp12251_c0_seq1_m.6025 Au
1 26.00 comp16293_c0_seq2_m.26852 Au
1 26.00 comp11314_c0_seq1_m.18757 Au
1 26.00 comp11514_c0_seq1_m.5494 Au
1 26.00 comp17823_c0_seq1_m.28685 Au
1 26.00 comp8992_c0_seq1_m.31385 Au
1 26.00 comp11011_c2_seq1_m.23392 f3m5_Au_f4m6_SL
1 26.00 comp18186_c0_seq1_m.10006 f3m5_SL_f4m6_SL
1 26.00 comp17456_c0_seq3_m.23876 Au
1 26.00 comp11841_c0_seq1_m.5742 Au
1 26.00 comp10990_c0_seq1_m.5166 Au
1 26.00 comp5116_c0_seq2_m.34857 Au
1 26.00 comp15156_c0_seq1_m.8104 Au
1 26.00 comp10096_c0_seq1_m.4558 Au
1 26.00 comp14510_c0_seq1_m.7654 Au
1 26.00 comp9791_c0_seq1_m.4360 Au
1 26.00 comp15501_c0_seq1_m.22519 Au
1 26.00 comp13334_c0_seq1_m.16347 Au
1 26.00 comp33134_c0_seq1_m.11144 f3m5_SL_f4m6_Au
1 26.00 comp15927_c0_seq1_m.36521 Au
1 26.00 comp10769_c0_seq2_m.17061 Au
1 26.00 comp13223_c0_seq1_m.6743 Au
1 26.00 comp11750_c0_seq1_m.5675 f3m5_SL_NA
1 26.00 comp10233_c1_seq1_m.23937 Au
1 26.00 comp16387_c0_seq1_m.8912 NA_f4m6_SL
1 26.00 comp17885_c0_seq1_m.9819 NA_f4m6_SL
1 26.00 comp11086_c0_seq1_m.15413 Au
1 26.00 comp15351_c0_seq1_m.8233 Au
1 26.00 comp12102_c0_seq1_m.5922 Au
1 27.85 comp16347_c0_seq1_m.8881 Au
1 27.85 comp16244_c0_seq2_m.29257 Au
1 27.85 comp17794_c0_seq1_m.37035 Au
1 27.85 comp13722_c0_seq1_m.7079 Au
1 27.85 comp14583_c0_seq1_m.7701 Au
1 27.85 comp5909_c0_seq2_m.27075 Au
1 27.85 comp14205_c0_seq1_m.7448 Au
1 27.85 comp10769_c0_seq1_m.17059 Au
1 27.85 comp4040_c0_seq1_m.906 Au
1 27.85 comp48623_c0_seq1_m.11529 Au
1 27.85 comp13802_c0_seq1_m.7127 Au
1 27.85 comp13080_c0_seq1_m.31669 Au
1 27.85 comp102678_c0_seq1_m.12913 Au
1 27.85 comp6059_c0_seq1_m.27126 Au
1 27.85 comp60618_c0_seq1_m.11799 Au
1 27.85 comp11938_c0_seq1_m.37461 Au
1 27.85 comp17491_c0_seq1_m.9604 Au
1 27.85 comp14156_c0_seq1_m.26979 Au
1 29.70 comp17689_c0_seq1_m.9702 Au
1 29.70 comp14965_c0_seq2_m.27711 Au
1 29.70 comp6500_c0_seq1_m.16556 Au
1 29.70 comp18186_c0_seq1_m.10007 Au
1 29.70 comp16480_c0_seq1_m.35392 Au
1 29.70 comp9358_c0_seq1_m.21437 Au
1 29.70 comp10843_c0_seq1_m.35085 Au
1 29.70 comp13926_c0_seq2_m.24912 Au
1 29.70 comp6854_c0_seq1_m.2588 Au
1 29.70 comp4586_c0_seq1_m.1268 Au
1 29.70 comp16825_c0_seq2_m.18081 Au
1 29.70 comp9328_c0_seq1_m.4066 Au
1 29.70 comp15169_c0_seq1_m.24915 f3m5_SL_NA
1 29.70 comp4003_c0_seq1_m.878 Au
1 29.70 comp16480_c1_seq1_m.35394 Au
1 29.70 comp14030_c0_seq1_m.7286 Au
1 29.70 comp16480_c0_seq1_m.35393 Au
1 29.70 comp17199_c0_seq1_m.9409 Au
1 29.70 comp6500_c0_seq2_m.16557 f3m5_SL_f4m6_Au
1 29.70 comp9741_c0_seq1_m.30559 Au
1 29.70 comp9550_c0_seq1_m.4213 Au
1 29.70 comp6755_c0_seq1_m.34251 Au
1 29.70 comp71225_c0_seq1_m.12058 Au
1 29.70 comp17502_c0_seq1_m.23583 Au
1 31.56 comp14120_c0_seq1_m.35106 Au
